config,group,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
HW_fBO4_sg15,HW,0.69,1.5,10,10,88.2834,True,,2026-07-03T20:28:37.771219
GR_fBO4_sg08,GR,0.77,0.8,10,4,36.2576,True,,2026-07-03T20:29:14.068645
HW_fBO4_sg15,HW,0.69,1.5,10,19,75.8268,True,,2026-07-03T20:30:29.970630
SW_fBO4_sg0,SW,0.54,0.0,10,19,31.2661,True,,2026-07-03T20:31:01.244930
GR_fBO4_sg08,GR,0.77,0.8,10,23,37.6734,True,,2026-07-03T20:31:38.969659
HW_fBO4_sg0,HW,0.69,0.0,10,26,44.6926,True,,2026-07-03T20:32:23.696230
HW_fBO4_sg15,HW,0.69,1.5,10,26,69.6162,True,,2026-07-03T20:33:33.432396
GR_fBO4_sg0,GR,0.77,0.0,10,2,14.7005,True,,2026-07-03T20:33:48.146368
SW_fBO4_sg15,SW,0.54,1.5,10,26,23.9142,True,,2026-07-03T20:34:12.075751
SW_fBO4_sg08,SW,0.54,0.8,10,23,26.2346,True,,2026-07-03T20:34:38.333996
SW_fBO4_sg08,SW,0.54,0.8,10,1,26.7162,True,,2026-07-03T20:35:05.059426
SW_fBO4_sg0,SW,0.54,0.0,10,6,30.2023,True,,2026-07-03T20:35:35.265861
HW_fBO4_sg0,HW,0.69,0.0,10,28,56.7168,True,,2026-07-03T20:36:32.009195
HW_fBO4_sg15,HW,0.69,1.5,10,6,70.3661,True,,2026-07-03T20:37:42.436475
SW_fBO4_sg08,SW,0.54,0.8,10,17,25.547,True,,2026-07-03T20:38:07.997603
SW_fBO4_sg0,SW,0.54,0.0,10,20,22.3081,True,,2026-07-03T20:38:30.321288
SW_fBO4_sg15,SW,0.54,1.5,10,16,25.0379,True,,2026-07-03T20:38:55.380464
SW_fBO4_sg0,SW,0.54,0.0,10,22,24.0742,True,,2026-07-03T20:39:19.464642
HW_fBO4_sg08,HW,0.69,0.8,10,22,101.1656,True,,2026-07-03T20:41:00.701093
GR_fBO4_sg15,GR,0.77,1.5,10,26,26.6715,True,,2026-07-03T20:41:27.438001
SW_fBO4_sg0,SW,0.54,0.0,10,9,22.0517,True,,2026-07-03T20:41:49.499568
HW_fBO4_sg0,HW,0.69,0.0,10,1,37.3591,True,,2026-07-03T20:42:26.894340
HW_fBO4_sg15,HW,0.69,1.5,10,21,68.1363,True,,2026-07-03T20:43:35.081169
HW_fBO4_sg08,HW,0.69,0.8,10,6,100.3453,True,,2026-07-03T20:45:15.496639
HW_fBO4_sg15,HW,0.69,1.5,10,4,71.6713,True,,2026-07-03T20:46:27.228402
SW_fBO4_sg15,SW,0.54,1.5,10,17,23.6893,True,,2026-07-03T20:46:50.923674
GR_fBO4_sg08,GR,0.77,0.8,10,26,39.548,True,,2026-07-03T20:47:30.504737
GR_fBO4_sg0,GR,0.77,0.0,10,4,13.6653,True,,2026-07-03T20:47:44.182098
HW_fBO4_sg15,HW,0.69,1.5,10,5,81.7646,True,,2026-07-03T20:49:06.023637
GR_fBO4_sg08,GR,0.77,0.8,10,11,34.5364,True,,2026-07-03T20:49:40.589864
HW_fBO4_sg15,HW,0.69,1.5,10,25,75.3839,True,,2026-07-03T20:50:56.023057
GR_fBO4_sg0,GR,0.77,0.0,10,11,15.6436,True,,2026-07-03T20:51:11.680097
SW_fBO4_sg15,SW,0.54,1.5,10,29,23.0756,True,,2026-07-03T20:51:34.764648
HW_fBO4_sg0,HW,0.69,0.0,10,29,36.1754,True,,2026-07-03T20:52:10.983598
GR_fBO4_sg15,GR,0.77,1.5,10,18,30.3453,True,,2026-07-03T20:52:41.347963
HW_fBO4_sg15,HW,0.69,1.5,10,18,74.0344,True,,2026-07-03T20:53:55.431119
GR_fBO4_sg0,GR,0.77,0.0,10,21,16.0312,True,,2026-07-03T20:54:11.482446
GR_fBO4_sg0,GR,0.77,0.0,10,14,14.8059,True,,2026-07-03T20:54:26.295231
HW_fBO4_sg08,HW,0.69,0.8,10,11,125.908,True,,2026-07-03T20:56:32.285340
GR_fBO4_sg08,GR,0.77,0.8,10,13,44.7398,True,,2026-07-03T20:57:17.076614
SW_fBO4_sg0,SW,0.54,0.0,10,5,18.6828,True,,2026-07-03T20:57:35.768127
GR_fBO4_sg15,GR,0.77,1.5,10,27,32.3817,True,,2026-07-03T20:58:08.172016
GR_fBO4_sg15,GR,0.77,1.5,10,28,34.8847,True,,2026-07-03T20:58:43.112169
SW_fBO4_sg15,SW,0.54,1.5,10,11,32.712,True,,2026-07-03T20:59:15.830849
SW_fBO4_sg15,SW,0.54,1.5,10,25,23.0785,True,,2026-07-03T20:59:38.918904
GR_fBO4_sg08,GR,0.77,0.8,10,2,33.9233,True,,2026-07-03T21:00:12.873198
GR_fBO4_sg0,GR,0.77,0.0,10,8,19.0368,True,,2026-07-03T21:00:31.931989
HW_fBO4_sg0,HW,0.69,0.0,10,8,54.6837,True,,2026-07-03T21:01:26.655335
HW_fBO4_sg08,HW,0.69,0.8,10,1,83.2043,True,,2026-07-03T21:02:49.949824
GR_fBO4_sg08,GR,0.77,0.8,10,10,36.5458,True,,2026-07-03T21:03:26.522477
SW_fBO4_sg0,SW,0.54,0.0,10,27,19.1611,True,,2026-07-03T21:03:45.693399
HW_fBO4_sg0,HW,0.69,0.0,10,13,39.635,True,,2026-07-03T21:04:25.369459
SW_fBO4_sg08,SW,0.54,0.8,10,7,28.7215,True,,2026-07-03T21:04:54.104386
SW_fBO4_sg0,SW,0.54,0.0,10,23,29.8548,True,,2026-07-03T21:05:23.963633
GR_fBO4_sg15,GR,0.77,1.5,10,25,29.8901,True,,2026-07-03T21:05:53.875657
SW_fBO4_sg15,SW,0.54,1.5,10,1,21.6753,True,,2026-07-03T21:06:15.561323
HW_fBO4_sg0,HW,0.69,0.0,10,25,38.3745,True,,2026-07-03T21:06:53.993357
SW_fBO4_sg0,SW,0.54,0.0,10,30,19.517,True,,2026-07-03T21:07:13.520081
GR_fBO4_sg15,GR,0.77,1.5,10,23,41.4773,True,,2026-07-03T21:07:55.032057
HW_fBO4_sg15,HW,0.69,1.5,10,11,97.5643,True,,2026-07-03T21:09:32.646010
GR_fBO4_sg15,GR,0.77,1.5,10,11,34.4817,True,,2026-07-03T21:10:07.165690
SW_fBO4_sg15,SW,0.54,1.5,10,28,29.5109,True,,2026-07-03T21:10:36.690418
SW_fBO4_sg08,SW,0.54,0.8,10,3,26.2175,True,,2026-07-03T21:11:02.916235
GR_fBO4_sg0,GR,0.77,0.0,10,7,13.5323,True,,2026-07-03T21:11:16.461639
HW_fBO4_sg15,HW,0.69,1.5,10,20,67.4679,True,,2026-07-03T21:12:23.995510
GR_fBO4_sg08,GR,0.77,0.8,10,3,37.5623,True,,2026-07-03T21:13:01.621293
HW_fBO4_sg15,HW,0.69,1.5,10,2,72.1109,True,,2026-07-03T21:14:13.792085
SW_fBO4_sg0,SW,0.54,0.0,10,1,19.6877,True,,2026-07-03T21:14:33.484024
GR_fBO4_sg0,GR,0.77,0.0,10,20,15.398,True,,2026-07-03T21:14:48.899653
GR_fBO4_sg0,GR,0.77,0.0,10,26,13.7087,True,,2026-07-03T21:15:02.624460
SW_fBO4_sg08,SW,0.54,0.8,10,18,25.729,True,,2026-07-03T21:15:28.367155
GR_fBO4_sg08,GR,0.77,0.8,10,20,37.8686,True,,2026-07-03T21:16:06.284306
HW_fBO4_sg0,HW,0.69,0.0,10,2,38.4551,True,,2026-07-03T21:16:44.780615
SW_fBO4_sg0,SW,0.54,0.0,10,26,21.3508,True,,2026-07-03T21:17:06.136818
HW_fBO4_sg08,HW,0.69,0.8,10,12,80.8026,True,,2026-07-03T21:18:27.029617
