config_name,group,dp,replica,t_gen_s,success,timestamp
GR_DP8,GR,8,18,17.175,True,2026-04-01T13:05:40.248211
GR_DP8,GR,8,19,16.819,True,2026-04-01T13:05:57.081172
GR_DP8,GR,8,20,17.339,True,2026-04-01T13:06:14.447334
GR_DP8,GR,8,21,16.241,True,2026-04-01T13:06:30.715883
GR_DP8,GR,8,22,18.351,True,2026-04-01T13:06:49.093008
GR_DP8,GR,8,23,18.761,True,2026-04-01T13:07:07.878447
GR_DP8,GR,8,24,17.521,True,2026-04-01T13:07:25.430014
GR_DP8,GR,8,25,15.331,True,2026-04-01T13:07:40.789468
GR_DP8,GR,8,26,14.855,True,2026-04-01T13:07:55.658261
GR_DP8,GR,8,27,16.638,True,2026-04-01T13:08:12.320976
GR_DP8,GR,8,28,14.849,True,2026-04-01T13:08:27.184317
GR_DP8,GR,8,29,21.343,True,2026-04-01T13:08:48.541288
GR_DP8,GR,8,30,17.677,True,2026-04-01T13:09:06.244063
HW_DP10,HW,10,1,69.408,True,2026-04-01T13:10:15.685822
HW_DP10,HW,10,2,67.949,True,2026-04-01T13:11:23.708278
HW_DP10,HW,10,3,62.968,True,2026-04-01T13:12:26.758859
HW_DP10,HW,10,4,62.426,True,2026-04-01T13:13:29.249684
HW_DP10,HW,10,5,70.298,True,2026-04-01T13:14:39.624083
HW_DP10,HW,10,6,67.459,True,2026-04-01T13:15:47.156753
HW_DP10,HW,10,7,65.894,True,2026-04-01T13:16:53.123236
HW_DP10,HW,10,8,68.557,True,2026-04-01T13:18:01.747084
HW_DP10,HW,10,9,68.37,True,2026-04-01T13:19:10.191689
HW_DP10,HW,10,10,63.892,True,2026-04-01T13:20:14.151075
HW_DP10,HW,10,11,67.456,True,2026-04-01T13:21:21.678696
HW_DP10,HW,10,12,67.931,True,2026-04-01T13:22:29.683004
HW_DP10,HW,10,13,63.079,True,2026-04-01T13:23:32.807379
HW_DP10,HW,10,14,65.863,True,2026-04-01T13:24:38.751589
HW_DP10,HW,10,15,72.105,True,2026-04-01T13:25:50.940433
HW_DP10,HW,10,16,67.722,True,2026-04-01T13:26:58.740675
HW_DP10,HW,10,17,66.766,True,2026-04-01T13:28:05.576007
HW_DP10,HW,10,18,64.816,True,2026-04-01T13:29:10.467212
HW_DP10,HW,10,19,68.672,True,2026-04-01T13:30:19.210748
HW_DP10,HW,10,20,67.477,True,2026-04-01T13:31:26.763476
HW_DP10,HW,10,21,65.207,True,2026-04-01T13:32:32.047463
HW_DP10,HW,10,22,65.354,True,2026-04-01T13:33:37.463545
HW_DP10,HW,10,23,74.175,True,2026-04-01T13:34:51.693321
HW_DP10,HW,10,24,70.92,True,2026-04-01T13:36:02.688005
HW_DP10,HW,10,25,73.196,True,2026-04-01T13:37:15.957226
HW_DP10,HW,10,26,75.526,True,2026-04-01T13:38:31.561754
HW_DP10,HW,10,27,70.217,True,2026-04-01T13:39:41.852657
HW_DP10,HW,10,28,70.066,True,2026-04-01T13:40:51.976180
HW_DP10,HW,10,29,67.661,True,2026-04-01T13:41:59.702506
HW_DP10,HW,10,30,72.295,True,2026-04-01T13:43:12.090640
HW_DP5,HW,5,1,3.973,True,2026-04-01T13:43:16.125018
HW_DP5,HW,5,2,3.846,True,2026-04-01T13:43:19.975013
HW_DP5,HW,5,3,3.623,True,2026-04-01T13:43:23.604572
HW_DP5,HW,5,4,3.82,True,2026-04-01T13:43:27.430157
HW_DP5,HW,5,5,3.964,True,2026-04-01T13:43:31.397908
HW_DP5,HW,5,6,3.619,True,2026-04-01T13:43:35.023290
HW_DP5,HW,5,7,3.883,True,2026-04-01T13:43:38.910390
HW_DP5,HW,5,8,3.733,True,2026-04-01T13:43:42.647119
HW_DP5,HW,5,9,3.614,True,2026-04-01T13:43:46.264465
HW_DP5,HW,5,10,4.017,True,2026-04-01T13:43:50.287253
HW_DP5,HW,5,11,4.197,True,2026-04-01T13:43:54.488362
HW_DP5,HW,5,12,4.084,True,2026-04-01T13:43:58.576652
HW_DP5,HW,5,13,4.084,True,2026-04-01T13:44:02.667893
HW_DP5,HW,5,14,3.775,True,2026-04-01T13:44:06.446915
HW_DP5,HW,5,15,3.632,True,2026-04-01T13:44:10.084338
HW_DP5,HW,5,16,3.679,True,2026-04-01T13:44:13.767108
HW_DP5,HW,5,17,3.957,True,2026-04-01T13:44:17.730689
HW_DP5,HW,5,18,3.611,True,2026-04-01T13:44:21.348072
HW_DP5,HW,5,19,3.624,True,2026-04-01T13:44:24.977618
HW_DP5,HW,5,20,4.266,True,2026-04-01T13:44:29.250983
HW_DP5,HW,5,21,4.267,True,2026-04-01T13:44:33.527554
HW_DP5,HW,5,22,3.873,True,2026-04-01T13:44:37.404725
HW_DP5,HW,5,23,4.538,True,2026-04-01T13:44:41.946373
HW_DP5,HW,5,24,3.965,True,2026-04-01T13:44:45.916465
HW_DP5,HW,5,25,4.032,True,2026-04-01T13:44:49.955463
HW_DP5,HW,5,26,3.866,True,2026-04-01T13:44:53.829171
HW_DP5,HW,5,27,4.145,True,2026-04-01T13:44:57.980657
HW_DP5,HW,5,28,4.215,True,2026-04-01T13:45:02.199435
HW_DP5,HW,5,29,4.376,True,2026-04-01T13:45:06.579860
HW_DP5,HW,5,30,4.233,True,2026-04-01T13:45:10.816485
HW_DP8,HW,8,1,15.89,True,2026-04-01T13:45:26.715403
HW_DP8,HW,8,2,15.29,True,2026-04-01T13:45:42.023472
HW_DP8,HW,8,3,19.361,True,2026-04-01T13:46:01.408783
HW_DP8,HW,8,4,17.689,True,2026-04-01T13:46:19.121826
HW_DP8,HW,8,5,22.374,True,2026-04-01T13:46:41.511842
HW_DP8,HW,8,6,19.205,True,2026-04-01T13:47:00.743553
HW_DP8,HW,8,7,18.191,True,2026-04-01T13:47:18.961403
HW_DP8,HW,8,8,18.443,True,2026-04-01T13:47:37.431579
HW_DP8,HW,8,9,19.018,True,2026-04-01T13:47:56.465138
HW_DP8,HW,8,10,21.676,True,2026-04-01T13:48:18.168643
HW_DP8,HW,8,11,19.886,True,2026-04-01T13:48:38.083670
HW_DP8,HW,8,12,18.593,True,2026-04-01T13:48:56.693736
HW_DP8,HW,8,13,20.56,True,2026-04-01T13:49:17.283453
HW_DP8,HW,8,14,21.142,True,2026-04-01T13:49:38.449706
HW_DP8,HW,8,15,17.167,True,2026-04-01T13:49:55.632382
HW_DP8,HW,8,16,20.148,True,2026-04-01T13:50:15.808226
HW_DP8,HW,8,17,16.948,True,2026-04-01T13:50:32.783651
HW_DP8,HW,8,18,16.513,True,2026-04-01T13:50:49.313739
HW_DP8,HW,8,19,17.001,True,2026-04-01T13:51:06.330402
HW_DP8,HW,8,20,15.318,True,2026-04-01T13:51:21.679572
HW_DP8,HW,8,21,16.872,True,2026-04-01T13:51:38.566710
HW_DP8,HW,8,22,15.217,True,2026-04-01T13:51:53.810917
HW_DP8,HW,8,23,18.675,True,2026-04-01T13:52:12.512249
HW_DP8,HW,8,24,14.399,True,2026-04-01T13:52:26.926463
HW_DP8,HW,8,25,16.617,True,2026-04-01T13:52:43.570620
HW_DP8,HW,8,26,18.896,True,2026-04-01T13:53:02.492959
HW_DP8,HW,8,27,16.052,True,2026-04-01T13:53:18.561408
HW_DP8,HW,8,28,18.348,True,2026-04-01T13:53:36.928031
HW_DP8,HW,8,29,15.595,True,2026-04-01T13:53:52.547326
HW_DP8,HW,8,30,17.097,True,2026-04-01T13:54:09.654358
SW_DP10,SW,10,1,22.284,True,2026-04-01T13:54:31.956611
SW_DP10,SW,10,2,23.321,True,2026-04-01T13:54:55.284878
SW_DP10,SW,10,3,23.784,True,2026-04-01T13:55:19.077845
SW_DP10,SW,10,4,21.963,True,2026-04-01T13:55:41.051005
SW_DP10,SW,10,5,23.103,True,2026-04-01T13:56:04.162036
SW_DP10,SW,10,6,23.795,True,2026-04-01T13:56:27.965738
SW_DP10,SW,10,7,21.132,True,2026-04-01T13:56:49.106954
SW_DP10,SW,10,8,22.306,True,2026-04-01T13:57:11.420826
SW_DP10,SW,10,9,20.538,True,2026-04-01T13:57:31.963703
SW_DP10,SW,10,10,20.943,True,2026-04-01T13:57:52.911369
SW_DP10,SW,10,11,22.428,True,2026-04-01T13:58:15.346336
SW_DP10,SW,10,12,20.729,True,2026-04-01T13:58:36.083166
SW_DP10,SW,10,13,20.808,True,2026-04-01T13:58:56.899183
SW_DP10,SW,10,14,20.281,True,2026-04-01T13:59:17.184865
SW_DP10,SW,10,15,22.401,True,2026-04-01T13:59:39.597596
SW_DP10,SW,10,16,21.784,True,2026-04-01T14:00:01.389154
SW_DP10,SW,10,17,21.002,True,2026-04-01T14:00:22.399703
SW_DP10,SW,10,18,23.392,True,2026-04-01T14:00:45.796934
SW_DP10,SW,10,19,23.072,True,2026-04-01T14:01:08.873528
SW_DP10,SW,10,20,21.246,True,2026-04-01T14:01:30.126730
SW_DP10,SW,10,21,21.056,True,2026-04-01T14:01:51.189669
SW_DP10,SW,10,22,20.593,True,2026-04-01T14:02:11.789624
SW_DP10,SW,10,23,20.408,True,2026-04-01T14:02:32.205627
SW_DP10,SW,10,24,19.986,True,2026-04-01T14:02:52.198535
SW_DP10,SW,10,25,22.779,True,2026-04-01T14:03:14.981662
SW_DP10,SW,10,26,21.728,True,2026-04-01T14:03:36.713682
SW_DP10,SW,10,27,23.147,True,2026-04-01T14:03:59.867860
SW_DP10,SW,10,28,21.288,True,2026-04-01T14:04:21.162817
SW_DP10,SW,10,29,21.936,True,2026-04-01T14:04:43.103569
SW_DP10,SW,10,30,22.551,True,2026-04-01T14:05:05.661246
SW_DP5,SW,5,1,3.525,True,2026-04-01T14:05:09.197057
SW_DP5,SW,5,2,3.693,True,2026-04-01T14:05:12.893189
SW_DP5,SW,5,3,3.563,True,2026-04-01T14:05:16.459690
SW_DP5,SW,5,4,3.415,True,2026-04-01T14:05:19.877845
SW_DP5,SW,5,5,3.201,True,2026-04-01T14:05:23.081989
SW_DP5,SW,5,6,3.284,True,2026-04-01T14:05:26.369417
SW_DP5,SW,5,7,3.233,True,2026-04-01T14:05:29.605919
SW_DP5,SW,5,8,3.199,True,2026-04-01T14:05:32.810130
SW_DP5,SW,5,9,3.176,True,2026-04-01T14:05:35.992036
SW_DP5,SW,5,10,3.206,True,2026-04-01T14:05:39.202842
SW_DP5,SW,5,11,3.294,True,2026-04-01T14:05:42.501417
SW_DP5,SW,5,12,3.06,True,2026-04-01T14:05:45.566221
SW_DP5,SW,5,13,3.133,True,2026-04-01T14:05:48.704771
